Url;Date;Tweet ID;Tweet Place;User;User place;Retweet Count;Reply Count
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 21:01:56 +0000 2016;683392804429651968;;oliv917;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 20:48:12 +0000 2016;683389350877523968;;BFRYdQMkgTQTDVw;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 20:47:11 +0000 2016;683389095733805058;;masageti1;Россия;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 20:37:50 +0000 2016;683386739956838400;;Inthepeninsula;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 20:34:20 +0000 2016;683385858951659521;;Neringa285;Калининград,Россия;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 20:32:49 +0000 2016;683385477093801984;;pravda60;Кандидат культурологии;1.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 18:52:26 +0000 2016;683360216813981696;;bursuk;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 18:43:38 +0000 2016;683358003282706432;;ui_imair;London, England;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 18:38:00 +0000 2016;683356584395673600;;SerboCanada;BC Canada;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 18:31:03 +0000 2016;683354834016309248;;shinobi22427722;Belgium, Flanders;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 18:01:55 +0000 2016;683347502708473856;;ivansvetlov1;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 17:51:20 +0000 2016;683344841762291712;;KSash_ka;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 17:42:47 +0000 2016;683342687504863232;;p170598;УРАЛ;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 17:22:49 +0000 2016;683337663496228865;;Kirzaq;;1.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 17:12:48 +0000 2016;683335143956819969;;lucanmigh;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 16:53:21 +0000 2016;683330250298802176;;Inthepeninsula;;0.0;0.0
