date;node;edge;user_node;user_edge;node_descrip;node_user_descrip;node_size;url
Mon Apr 04 20:18:53 +0000 2016;717084042487808001;;2385887136;;Putinophobia hits boiling point: Kremlin says ‘insinuations’ in Panama leak don’t need response https://t.co/5ifVPzVLU2;MeaganMacha;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 13:50:58 +0000 2016;717348807638253569;('717348807638253569', '717151825380581376');833196068;('833196068', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;focustan1;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 10:05:13 +0000 2016;717291995509686273;('717291995509686273', '717253181995098113');452117960;('452117960', '1275620544');"RT @RogerHalsted: Il Cremlino: le insinuazioni su #Putin nei #panamapapers non meritano neanche una risposta 
https://t.co/GJ4oo3EvDQ";PPicerni;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 07:30:59 +0000 2016;717253181995098113;;1275620544;;"Il Cremlino: le insinuazioni su #Putin nei #panamapapers non meritano neanche una risposta 
https://t.co/GJ4oo3EvDQ";RogerHalsted;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 08:28:58 +0000 2016;717267774545010688;('717267774545010688', '717267159353794560');292754731;('292754731', '2598372010');RT @MalikMhz: Putinophobia hits boiling point: Kremlin says ‘insinuations’ in Panama leak don’t need response https://t.co/eVWIf1nii1;_abbasR;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 08:26:31 +0000 2016;717267159353794560;;2598372010;;Putinophobia hits boiling point: Kremlin says ‘insinuations’ in Panama leak don’t need response https://t.co/eVWIf1nii1;MalikMhz;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 07:34:43 +0000 2016;717254121829638145;('717254121829638145', '717253181995098113');2947046746;('2947046746', '1275620544');"RT @RogerHalsted: Il Cremlino: le insinuazioni su #Putin nei #panamapapers non meritano neanche una risposta 
https://t.co/GJ4oo3EvDQ";rodyapostol59;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 07:31:19 +0000 2016;717253267605078016;('717253267605078016', '717253181995098113');2979050746;('2979050746', '1275620544');"RT @RogerHalsted: Il Cremlino: le insinuazioni su #Putin nei #panamapapers non meritano neanche una risposta 
https://t.co/GJ4oo3EvDQ";frelich1988;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 05:41:20 +0000 2016;717225588700872704;('717225588700872704', '717154460208734209');39146117;('39146117', '2516920201');"RT @Whtapl: We're calling this a #PanamaLeaks when it could be more of a gusher
https://t.co/N1ivQ3qlCg https://t.co/EBs1jp5TTw https://t.c…";maryteatowel;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 03:12:19 +0000 2016;717188086476644352;('717188086476644352', '717151825380581376');150180097;('150180097', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;ChaneeTips;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 02:54:17 +0000 2016;717183551066603521;('717183551066603521', '717151825380581376');86321677;('86321677', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;KyuKensai;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 02:52:04 +0000 2016;717182992578322432;('717182992578322432', '717151825380581376');220656082;('220656082', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;ManZ31;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 02:45:31 +0000 2016;717181342853652480;('717181342853652480', '717151825380581376');17224209;('17224209', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;MTue2551;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 02:44:48 +0000 2016;717181162972647424;('717181162972647424', '717154460208734209');14696499;('14696499', '2516920201');"RT @Whtapl: We're calling this a #PanamaLeaks when it could be more of a gusher
https://t.co/N1ivQ3qlCg https://t.co/EBs1jp5TTw https://t.c…";joelkotarski;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 02:43:46 +0000 2016;717180904083329024;('717180904083329024', '717151825380581376');14213571;('14213571', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;phichai;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 02:11:18 +0000 2016;717172731096117248;('717172731096117248', '717151825380581376');102987871;('102987871', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;wWzeIf;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 02:09:13 +0000 2016;717172206086688770;('717172206086688770', '717151825380581376');217722790;('217722790', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;looktarn_is_me;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 01:49:44 +0000 2016;717167304702763009;('717167304702763009', '717151825380581376');598512670;('598512670', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;PattarachaiNan1;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 01:33:20 +0000 2016;717163179281920001;('717163179281920001', '716958816986927105');128002564;('128002564', '14371600');"RT @Guerraeterna: El Kremlin dice que los papeles de Panamá son sólo especulaciones y ""Putinofobia"". Ja. https://t.co/hJs1IKoB7J";isjoebloggs;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 12:01:17 +0000 2016;716958816986927105;;14371600;;"El Kremlin dice que los papeles de Panamá son sólo especulaciones y ""Putinofobia"". Ja. https://t.co/hJs1IKoB7J";Guerraeterna;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 01:10:24 +0000 2016;717157406128517120;('717157406128517120', '717151825380581376');1953093457;('1953093457', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;tvxqjyj_mania;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 01:08:48 +0000 2016;717157002615459840;('717157002615459840', '717151825380581376');1722423086;('1722423086', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;Karn3Soc;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 01:07:03 +0000 2016;717156562175852548;('717156562175852548', '717151825380581376');271705484;('271705484', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;FullTime_Father;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 00:55:51 +0000 2016;717153745713233920;('717153745713233920', '717151825380581376');90382257;('90382257', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;ibtpb3ar;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 00:55:32 +0000 2016;717153666231197696;('717153666231197696', '717151825380581376');2822161748;('2822161748', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;thitayak1702;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 00:53:02 +0000 2016;717153037941235712;('717153037941235712', '717151825380581376');56984700;('56984700', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;JorOrYor;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 00:51:43 +0000 2016;717152706142429185;('717152706142429185', '717151825380581376');62256661;('62256661', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;MrVop;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
